,text,bounding_all,left_up_x,left_up_y,left_bot_x,left_bot_y,right_up_x,right_up_y,right_bot_x,right_bot_y,height_left,height_right
142,",","[(139, 447), (141, 447), (141, 459), (139, 459)]",139,447,141,447,141,459,139,459,2,2
143,bacon,"[(147, 447), (173, 447), (173, 459), (147, 459)]",147,447,173,447,173,459,147,459,26,26
144,",","[(175, 447), (176, 447), (176, 459), (175, 459)]",175,447,176,447,176,459,175,459,1,1
145,blue,"[(183, 447), (203, 447), (203, 459), (183, 459)]",183,447,203,447,203,459,183,459,20,20
146,cheese,"[(206, 447), (235, 447), (235, 459), (206, 459)]",206,447,235,447,235,459,206,459,29,29
147,",","[(235, 447), (238, 447), (238, 459), (235, 459)]",235,447,238,447,238,459,235,459,3,3
148,egg,"[(242, 447), (259, 447), (259, 459), (242, 459)]",242,447,259,447,259,459,242,459,17,17
149,",","[(257, 447), (261, 447), (261, 459), (257, 459)]",257,447,261,447,261,459,257,459,4,4
150,red,"[(8, 462), (23, 462), (23, 474), (8, 474)]",8,462,23,462,23,474,8,474,15,15
151,wine,"[(25, 462), (49, 462), (49, 474), (25, 474)]",25,462,49,462,49,474,25,474,24,24
152,vinaigrette,"[(51, 462), (102, 462), (102, 474), (51, 474)]",51,462,102,462,102,474,51,474,51,51
153,.....,"[(98, 462), (116, 462), (116, 474), (98, 474)]",98,462,116,462,116,474,98,474,18,18
154,28,"[(361, 463), (374, 463), (374, 470), (361, 470)]",361,463,374,463,374,470,361,470,13,13
155,FIRE,"[(9, 487), (40, 487), (40, 497), (9, 497)]",9,487,40,487,40,497,9,497,31,31
156,GRILLED,"[(46, 487), (106, 487), (106, 497), (46, 497)]",46,487,106,487,106,497,46,497,60,60
157,OCTOPUS,"[(112, 487), (180, 487), (180, 497), (112, 497)]",112,487,180,487,180,497,112,497,68,68
158,fingerling,"[(5, 503), (52, 503), (52, 516), (5, 516)]",5,503,52,503,52,516,5,516,47,47
159,potatoes,"[(54, 503), (93, 503), (93, 516), (54, 516)]",54,503,93,503,93,516,54,516,39,39
160,",","[(91, 503), (94, 503), (94, 516), (91, 516)]",91,503,94,503,94,516,91,516,3,3
161,dried,"[(99, 503), (122, 503), (122, 516), (99, 516)]",99,503,122,503,122,516,99,516,23,23
162,black,"[(126, 503), (151, 503), (151, 516), (126, 516)]",126,503,151,503,151,516,126,516,25,25
163,olive,"[(155, 503), (176, 503), (176, 516), (155, 516)]",155,503,176,503,176,516,155,516,21,21
164,",","[(175, 503), (177, 503), (177, 516), (175, 516)]",175,503,177,503,177,516,175,516,2,2
165,sweet,"[(182, 503), (208, 503), (208, 516), (182, 516)]",182,503,208,503,208,516,182,516,26,26
166,pimento,"[(211, 503), (247, 503), (247, 516), (211, 516)]",211,503,247,503,247,516,211,516,36,36
167,",","[(247, 503), (250, 503), (250, 516), (247, 516)]",247,503,250,503,250,516,247,516,3,3
168,olive,"[(255, 503), (275, 503), (275, 516), (255, 516)]",255,503,275,503,275,516,255,516,20,20
169,oil,"[(280, 503), (292, 503), (292, 516), (280, 516)]",280,503,292,503,292,516,280,516,12,12
170,",","[(291, 503), (294, 503), (294, 516), (291, 516)]",291,503,294,503,294,516,291,516,3,3
171,frisée,"[(297, 503), (323, 503), (323, 516), (297, 516)]",297,503,323,503,323,516,297,516,26,26
172,...........,"[(320, 503), (363, 503), (363, 516), (320, 516)]",320,503,363,503,363,516,320,516,43,43
173,24,"[(357, 503), (372, 503), (372, 516), (357, 516)]",357,503,372,503,372,516,357,516,15,15
174,add,"[(7, 558), (30, 558), (30, 573), (7, 573)]",7,558,30,558,30,573,7,573,23,23
175,chicken,"[(35, 558), (76, 558), (76, 573), (35, 573)]",35,558,76,558,76,573,35,573,41,41
176,(,"[(83, 558), (89, 558), (89, 573), (83, 573)]",83,558,89,558,89,573,83,573,6,6
177,86,"[(88, 558), (105, 558), (105, 573), (88, 573)]",88,558,105,558,105,573,88,573,17,17
178,),"[(104, 558), (109, 558), (109, 573), (104, 573)]",104,558,109,558,109,573,104,573,5,5
179,;,"[(109, 558), (113, 558), (113, 573), (109, 573)]",109,558,113,558,113,573,109,573,4,4
180,add,"[(119, 558), (140, 558), (140, 573), (119, 573)]",119,558,140,558,140,573,119,573,21,21
181,3,"[(146, 558), (153, 558), (153, 573), (146, 573)]",146,558,153,558,153,573,146,573,7,7
182,shrimp,"[(159, 558), (199, 558), (199, 573), (159, 573)]",159,558,199,558,199,573,159,573,40,40
183,",","[(198, 558), (201, 558), (201, 573), (198, 573)]",198,558,201,558,201,573,198,573,3,3
184,salmon,"[(208, 558), (249, 558), (249, 573), (208, 573)]",208,558,249,558,249,573,208,573,41,41
185,or,"[(254, 558), (266, 558), (266, 573), (254, 573)]",254,558,266,558,266,573,254,573,12,12
186,steak,"[(271, 558), (301, 558), (301, 573), (271, 573)]",271,558,301,558,301,573,271,573,30,30
187,(,"[(306, 558), (312, 558), (312, 573), (306, 573)]",306,558,312,558,312,573,306,573,6,6
188,$,"[(311, 558), (318, 558), (318, 573), (311, 573)]",311,558,318,558,318,573,311,573,7,7
189,12,"[(321, 558), (337, 558), (337, 573), (321, 573)]",321,558,337,558,337,573,321,573,16,16
190,),"[(335, 558), (341, 558), (341, 573), (335, 573)]",335,558,341,558,341,573,335,573,6,6
